keyword,degree,strength,betweenness,closeness,clustering,community
emissions,16,693,0.009191176470588236,0.2236842105263158,0.04435722855511818,1
co2,15,543,0.03635620915032679,0.3269230769230769,0.0392478878025989,1
global warming,15,453,0.0,0.1717171717171717,0.04375687099600704,0
extreme weather events,14,107,0.021241830065359478,0.3090909090909091,0.019436340666634376,0
catastrophe,14,60,0.3378267973856209,0.40476190476190477,0.013922701638034734,0
deforestation,13,219,0.014501633986928105,0.27419354838709675,0.032276364508481196,1
extinction,13,195,0.0,0.22077922077922077,0.031909212325381416,0
renewable energy,12,145,0.1213235294117647,0.2786885245901639,0.02321610667894021,2
anthropogenic ,12,348,0.14338235294117646,0.32075471698113206,0.04607704020202412,0
clean energy,11,141,0.11397058823529412,0.27419354838709675,0.023792831037577036,2
desertification,11,82,0.0,0.22077922077922077,0.02177679022757209,0
greenhouse effect,10,178,0.17197712418300654,0.34,0.03634639637798417,1
sea level rise,10,117,0.0,0.29310344827586204,0.030897905021035618,0
loss of biodiversity,9,56,0.11458333333333334,0.3333333333333333,0.020267313470895484,0
melting glaciers,8,93,0.003676470588235294,0.22972972972972974,0.028116244220571834,0
green transition,7,36,0.14705882352941177,0.32075471698113206,0.023471525402387193,2
misinformation,6,11,0.38521241830065356,0.40476190476190477,0.0073915915175404075,0
sustainable biofuels,2,3,0.016544117647058824,0.22972972972972974,0.013382475743991304,2
